Date,Close
3/4/2015,15.07
3/5/2015,15.14
3/6/2015,15.06
3/9/2015,14.73
3/10/2015,14.71
3/11/2015,14.69
3/12/2015,14.64
3/13/2015,14.58
3/16/2015,14.57
3/17/2015,14.59
3/18/2015,14.52
3/19/2015,14.64
3/20/2015,14.68
3/23/2015,14.73
3/24/2015,14.82
3/25/2015,14.82
3/26/2015,14.73
3/27/2015,15.31
3/30/2015,15.11
3/31/2015,15.2
4/1/2015,15.09
4/2/2015,15.12
4/7/2015,15.2
4/8/2015,15.04
4/9/2015,15
4/10/2015,15.11
4/13/2015,15.28
4/14/2015,15.31
4/15/2015,15.09
4/16/2015,15.07
4/17/2015,14.98
4/20/2015,14.96
4/21/2015,15.08
4/22/2015,14.94
4/23/2015,15.04
4/24/2015,15.44
4/27/2015,15.53
4/28/2015,15.49
4/29/2015,15.18
4/30/2015,15.19
5/1/2015,15.04
5/4/2015,15.11
5/6/2015,14.73
5/7/2015,14.63
5/8/2015,14.77
5/11/2015,14.71
5/12/2015,14.82
5/13/2015,14.7
5/14/2015,14.9
5/15/2015,15.05
5/18/2015,14.94
5/19/2015,14.85
5/20/2015,14.9
5/21/2015,14.92
5/22/2015,15.18
5/25/2015,15.48
5/26/2015,16.47
5/27/2015,16.11
5/28/2015,16.13
5/29/2015,16.23
6/1/2015,16.18
6/2/2015,15.97
6/3/2015,15.8
6/4/2015,15.51
6/5/2015,15.55
6/9/2015,15.53
6/10/2015,15.53
6/11/2015,15.74
6/12/2015,15.86
6/15/2015,15.75
6/16/2015,16.13
6/17/2015,16.23
6/18/2015,16.12
6/19/2015,16.27
6/22/2015,16.42
6/23/2015,16.61
6/24/2015,16.7
6/25/2015,16.31
6/26/2015,15.82
6/29/2015,15.53
6/30/2015,15.55
7/1/2015,15.63
7/2/2015,15.87
7/3/2015,15.82
7/6/2015,15.54
7/7/2015,15.84
7/8/2015,15.6
7/9/2015,15.37
7/10/2015,15.6
7/13/2015,15.6
7/14/2015,15.88
7/15/2015,16.12
