Date,Close
3/31/2015,0.56
4/1/2015,0.56
4/2/2015,0.56
4/7/2015,0.55
4/8/2015,0.54
4/9/2015,0.54
4/10/2015,0.54
4/13/2015,0.54
4/14/2015,0.54
4/15/2015,0.54
4/16/2015,0.53
4/17/2015,0.54
4/20/2015,0.52
4/21/2015,0.52
4/22/2015,0.52
4/23/2015,0.51
4/24/2015,0.51
4/27/2015,0.51
4/28/2015,0.48
4/29/2015,0.48
4/30/2015,0.5
5/1/2015,0.5
5/4/2015,0.51
5/6/2015,0.51
5/7/2015,0.5
5/8/2015,0.5
5/11/2015,0.5
5/12/2015,0.49
5/13/2015,0.47
5/14/2015,0.48
5/15/2015,0.47
5/18/2015,0.47
5/19/2015,0.49
5/20/2015,0.48
5/21/2015,0.48
5/22/2015,0.47
5/25/2015,0.47
5/26/2015,0.48
5/27/2015,0.48
5/28/2015,0.47
5/29/2015,0.47
6/1/2015,0.48
6/2/2015,0.47
6/3/2015,0.51
6/4/2015,0.53
6/5/2015,0.52
6/9/2015,0.52
6/10/2015,0.53
6/11/2015,0.53
6/12/2015,0.53
6/15/2015,0.53
6/16/2015,0.52
6/17/2015,0.52
6/18/2015,0.5
6/19/2015,0.51
6/22/2015,0.61
6/23/2015,0.69
6/24/2015,0.67
6/25/2015,0.64
6/26/2015,0.65
6/29/2015,0.65
6/30/2015,0.64
7/1/2015,0.67
7/2/2015,0.68
7/3/2015,0.66
7/6/2015,0.66
7/7/2015,0.66
7/8/2015,0.65
7/9/2015,0.66
7/10/2015,0.68
7/13/2015,0.67
7/14/2015,0.67
7/15/2015,0.69
7/16/2015,0.68
7/17/2015,0.67
7/20/2015,0.67
7/21/2015,0.73
7/22/2015,0.71
7/23/2015,0.72
7/24/2015,0.73
7/27/2015,0.77
7/28/2015,0.76
7/29/2015,0.76
7/30/2015,0.75
7/31/2015,0.74
8/3/2015,0.73
8/4/2015,0.73
8/5/2015,0.73
8/6/2015,0.74
8/7/2015,0.74
8/10/2015,0.71
8/11/2015,0.72
8/12/2015,0.72
8/13/2015,0.72
8/14/2015,0.71
8/17/2015,0.7
8/18/2015,0.71
8/19/2015,0.69
8/20/2015,0.64
8/21/2015,0.68
8/24/2015,0.63
8/25/2015,0.64
8/26/2015,0.65
8/27/2015,0.67
8/28/2015,0.66
8/31/2015,0.64
9/1/2015,0.63
9/2/2015,0.63
9/3/2015,0.62
9/4/2015,0.63
9/7/2015,0.66
9/8/2015,0.65
9/9/2015,0.66
9/10/2015,0.65
9/11/2015,0.64
9/14/2015,0.65
9/15/2015,0.63
9/16/2015,0.64
9/17/2015,0.65
9/18/2015,0.64
9/21/2015,0.63
9/22/2015,0.64
9/23/2015,0.65
9/24/2015,0.66
9/25/2015,0.65
9/28/2015,0.65
9/29/2015,0.64
9/30/2015,0.64
10/1/2015,0.64
10/2/2015,0.65
10/5/2015,0.65
10/6/2015,0.66
10/7/2015,0.65
10/9/2015,0.72
10/12/2015,0.75
10/13/2015,0.74
10/14/2015,0.72
10/15/2015,0.71
10/16/2015,0.73
10/19/2015,0.73
10/20/2015,0.73
10/21/2015,0.69
